#,Title,Authors,Journal,Year,DOI
111,The Real Effects of Short-Selling Constraints,Gustavo Grullon; Sébastien Michenaud; James Weston,Review of Financial Studies,2015,10.1093/rfs/hhv013
112,Does Takeover Activity Cause Managerial Discipline? Evidence from International M&amp;A Laws,Uǧur Lel; Darius P. Miller,Review of Financial Studies,2015,10.1093/rfs/hhv002
113,The Shadow Cost of Bank Capital Requirements,Roni Kisin; Asaf Manela,Review of Financial Studies,2016,10.1093/rfs/hhw022
114,Law and Finance Matter: Lessons from Externally Imposed Courts,James Robert Brown; J. Anthony Cookson; Rawley Heimer,Review of Financial Studies,2016,10.1093/rfs/hhw030
115,Industry Window Dressing,Huaizhi Chen; Lauren Cohen; Dong Lou,Review of Financial Studies,2016,10.1093/rfs/hhw020
116,The Economic Effects of a Borrower Bailout: Evidence from an Emerging Market,Xavier Giné; Martin Kanz,Review of Financial Studies,2017,10.1093/rfs/hhx073
117,Does a Larger Menu Increase Appetite? Collateral Eligibility and Credit Supply,Sjoerd van Bekkum; Marc Gabarró; Rustom M. Irani,Review of Financial Studies,2017,10.1093/rfs/hhx112
118,Distributional Implications of Government Guarantees in Mortgage Markets,Pedro Gete; Franco Zecchetto,Review of Financial Studies,2017,10.1093/rfs/hhx083
119,Risk-Based Capital Requirements for Banks and International Trade,Banu Demir; Tomasz Michalski; Evren Örs,Review of Financial Studies,2017,10.1093/rfs/hhx062
120,Banks Response to Higher Capital Requirements: Evidence from a Quasi-Natural Experiment,Reint Gropp; Thomas C. Mosk; Steven Ongena; Carlo Wix,Review of Financial Studies,2018,10.1093/rfs/hhy052
121,Is Silence Golden? Real Effects of Mandatory Disclosure,Sudarshan Jayaraman; Joanna S. Wu,Review of Financial Studies,2018,10.1093/rfs/hhy088
122,Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls,Chen Yao; Mao Ye,Review of Financial Studies,2018,10.1093/rfs/hhy002
123,Banks’ Incentives and Inconsistent Risk Models,Matthew Plosser; João A. C. Santos,Review of Financial Studies,2018,10.1093/rfs/hhy028
124,Safe Haven CDS Premiums,Sven Klingler; David Lando,Review of Financial Studies,2018,10.1093/rfs/hhy021
125,Ratings-Based Regulation and Systematic Risk Incentives,Giuliano Iannotta; George Pennacchi; João A. C. Santos,Review of Financial Studies,2018,10.1093/rfs/hhy091
126,Mortgage Dollar Roll,Zhaogang Song; Haoxiang Zhu,Review of Financial Studies,2018,10.1093/rfs/hhy117
127,The Strategic Effects of Trademark Protection,Davidson Heath; Chris Mace,Review of Financial Studies,2019,10.1093/rfs/hhz084
128,The Distortive Effects of Too Big To Fail: Evidence from the Danish Market for Retail Deposits,Rajkamal Iyer; Thais Lærkholm Jensen; Niels Johannesen; Adam Sheridan,Review of Financial Studies,2019,10.1093/rfs/hhz037
129,Do Financial Regulations Shape the Functioning of Financial Institutions’ Risk Management in Asset-Backed Securities Investment?,Xuanjuan Chen; Eric Higgins; Han Xia; Hong Zou,Review of Financial Studies,2019,10.1093/rfs/hhz067
130,The Rise of Shadow Banking: Evidence from Capital Regulation,Rustom M. Irani; Rajkamal Iyer; Ralf Meisenzahl; José‐Luis Peydró,Review of Financial Studies,2020,10.1093/rfs/hhaa106
131,Information Revealed through the Regulatory Process: Interactions between the SEC and Companies ahead of Their IPO,Michelle Lowry; Roni Michaely; Ekaterina Volkova,Review of Financial Studies,2020,10.1093/rfs/hhaa007
132,Sharing the Pain? Credit Supply and Real Effects of Bank Bail-ins,Thorsten Beck; Samuel Da-Rocha-Lopes; André F. Silva,Review of Financial Studies,2020,10.1093/rfs/hhaa067
133,Rules versus Discretion in Bank Resolution,Ansgar Walther; Lucy White,Review of Financial Studies,2020,10.1093/rfs/hhaa032
134,"Creditor Rights, Technology Adoption, and Productivity: Plant-Level Evidence",Nuri Ersahin,Review of Financial Studies,2020,10.1093/rfs/hhaa038
135,Countercyclical Bank Equity Issuance,Matthew Baron,Review of Financial Studies,2020,10.1093/rfs/hhaa008
136,Overcoming Discount Window Stigma: An Experimental Investigation,Olivier Armantier; Charles A. Holt,Review of Financial Studies,2020,10.1093/rfs/hhaa055
137,Investor Protection and Capital Fragility: Evidence from Hedge Funds around the World,George O. Aragon; Vikram K. Nanda; Haibei Zhao,Review of Financial Studies,2020,10.1093/rfs/hhaa051
138,Dark Pool Trading and Information Acquisition,Jonathan Brogaard; Jing Pan,Review of Financial Studies,2021,10.1093/rfs/hhab098
139,Regulatory Limits to Risk Management,Ishita Sen,Review of Financial Studies,2022,10.1093/rfs/hhac083
140,Small Bank Lending in the Era of Fintech and Shadow Banks: A Sideshow?,Taylor A. Begley; Kandarp Srinivasan,Review of Financial Studies,2022,10.1093/rfs/hhac038
141,"Watch What They Do, Not What They Say: Estimating Regulatory Costs from Revealed Preferences",Adrien Alvero; Sakai Ando; Kairong Xiao,Review of Financial Studies,2022,10.1093/rfs/hhac089
142,Deposit Insurance and Depositor Behavior: Evidence from Colombia,Nicolás de Roux; Nicola Limodio,Review of Financial Studies,2022,10.1093/rfs/hhac092
143,The Effects of Capital Requirements on Good and Bad Risk-Taking,N. Aaron Pancost; Roberto Robatto,Review of Financial Studies,2022,10.1093/rfs/hhac037
144,Do Corporate Disclosures Constrain Strategic Analyst Behavior?,Yen‐Cheng Chang; Alexander Ljungqvist; Kevin Tseng,Review of Financial Studies,2023,10.1093/rfs/hhad008
145,Freeze! Financial Sanctions and Bank Responses,Matthias Efing; Stefan Goldbach; Volker Nitsch,Review of Financial Studies,2023,10.1093/rfs/hhad043
146,Secret and Overt Information Acquisition in Financial Markets,Yan Xiong; Liyan Yang,Review of Financial Studies,2023,10.1093/rfs/hhad018
147,Stress Testing and Bank Lending,Joel Shapiro; Jing Zeng,Review of Financial Studies,2023,10.1093/rfs/hhad086
148,The Cost of Bank Regulatory Capital,Matthew Plosser; João A. C. Santos,Review of Financial Studies,2023,10.1093/rfs/hhad077
149,Money Market Disconnect,Benedikt Ballensiefen; Angelo Ranaldo; Hannah Winterberg,Review of Financial Studies,2023,10.1093/rfs/hhad022
150,Conflicts of Interest in Municipal Bond Advising and Underwriting,Daniel Garrett,Review of Financial Studies,2024,10.1093/rfs/hhae037
151,Does Liquidity Management Induce Fragility in Treasury Prices? Evidence from Bond Mutual Funds,Shiyang Huang; Wenxi Jiang; Xiaoxi Liu; Xin Liu,Review of Financial Studies,2024,10.1093/rfs/hhae082
152,"Macroprudential Regulation, Quantitative Easing, and Bank Lending",Andrea Orame; Rodney Ramcharan; Roberto Robatto,Review of Financial Studies,2024,10.1093/rfs/hhae085
