journal,year,title,doi,nsu_proxy_url
JFE,2024,"Price ceilings, market structure, and payout policies",10.1016/j.jfineco.2024.103818,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1016/j.jfineco.2024.103818
RFS,2000,Government Intervention and Adverse Selection Costs in Foreign Exchange Markets,10.1093/rfs/13.2.453,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/13.2.453
RFS,2005,"Island Goes Dark: Transparency, Fragmentation, and Regulation",10.1093/rfs/hhi013,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhi013
RFS,2006,Public Disclosure and Private Decisions: Equity Market Execution Quality and Order Routing,10.1093/rfs/hhl011,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhl011
RFS,2008,Ownership: Evolution and Regulation,10.1093/rfs/hhn108,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhn108
RFS,2010,Do Regulations Based on Credit Ratings Affect a Firm's Cost of Capital?,10.1093/rfs/hhq077,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhq077
RFS,2010,Effects of Central Bank Intervention on the Interbank Market During the Subprime Crisis,10.1093/rfs/hhq123,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhq123
RFS,2011,Assessing TARP,10.1093/rfs/hhr121,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhr121
RFS,2013,Shackling Short Sellers: The 2008 Shorting Ban,10.1093/rfs/hht017,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hht017
RFS,2014,The Ownership of Japanese Corporations in the 20th Century,10.1093/rfs/hhu018,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhu018
RFS,2015,The Real Effects of Short-Selling Constraints,10.1093/rfs/hhv013,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhv013
RFS,2015,Does Takeover Activity Cause Managerial Discipline? Evidence from International M&amp;A Laws,10.1093/rfs/hhv002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhv002
RFS,2016,Competition and Bank Opacity,10.1093/rfs/hhw016,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhw016
RFS,2016,The Shadow Cost of Bank Capital Requirements,10.1093/rfs/hhw022,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhw022
RFS,2016,Law and Finance Matter: Lessons from Externally Imposed Courts,10.1093/rfs/hhw030,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhw030
RFS,2017,The Economic Effects of a Borrower Bailout: Evidence from an Emerging Market,10.1093/rfs/hhx073,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhx073
RFS,2017,The Twilight Zone: OTC Regulatory Regimes and Market Quality,10.1093/rfs/hhx102,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhx102
RFS,2017,Distributional Implications of Government Guarantees in Mortgage Markets,10.1093/rfs/hhx083,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhx083
RFS,2018,Banks Response to Higher Capital Requirements: Evidence from a Quasi-Natural Experiment,10.1093/rfs/hhy052,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhy052
RFS,2018,Is Silence Golden? Real Effects of Mandatory Disclosure,10.1093/rfs/hhy088,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhy088
RFS,2018,Why Trading Speed Matters: A Tale of Queue Rationing under Price Controls,10.1093/rfs/hhy002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhy002
RFS,2018,Banks’ Incentives and Inconsistent Risk Models,10.1093/rfs/hhy028,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhy028
RFS,2018,Safe Haven CDS Premiums,10.1093/rfs/hhy021,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhy021
RFS,2019,The Distortive Effects of Too Big To Fail: Evidence from the Danish Market for Retail Deposits,10.1093/rfs/hhz037,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhz037
RFS,2019,Do Financial Regulations Shape the Functioning of Financial Institutions’ Risk Management in Asset-Backed Securities Investment?,10.1093/rfs/hhz067,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhz067
RFS,2020,The Rise of Shadow Banking: Evidence from Capital Regulation,10.1093/rfs/hhaa106,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhaa106
RFS,2020,Information Revealed through the Regulatory Process: Interactions between the SEC and Companies ahead of Their IPO,10.1093/rfs/hhaa007,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhaa007
RFS,2020,Sharing the Pain? Credit Supply and Real Effects of Bank Bail-ins,10.1093/rfs/hhaa067,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhaa067
RFS,2020,Rules versus Discretion in Bank Resolution,10.1093/rfs/hhaa032,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhaa032
RFS,2020,Countercyclical Bank Equity Issuance,10.1093/rfs/hhaa008,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhaa008
RFS,2020,Overcoming Discount Window Stigma: An Experimental Investigation,10.1093/rfs/hhaa055,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhaa055
RFS,2020,Investor Protection and Capital Fragility: Evidence from Hedge Funds around the World,10.1093/rfs/hhaa051,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhaa051
RFS,2021,Kicking the Can Down the Road: Government Interventions in the European Banking Sector,10.1093/rfs/hhab002,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhab002
RFS,2021,Regulatory Forbearance in the U.S. Insurance Industry: The Effects of Removing Capital Requirements for an Asset Class,10.1093/rfs/hhab102,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhab102
RFS,2022,Regulatory Limits to Risk Management,10.1093/rfs/hhac083,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhac083
RFS,2022,Small Bank Lending in the Era of Fintech and Shadow Banks: A Sideshow?,10.1093/rfs/hhac038,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhac038
RFS,2022,"Watch What They Do, Not What They Say: Estimating Regulatory Costs from Revealed Preferences",10.1093/rfs/hhac089,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhac089
RFS,2022,Deposit Insurance and Depositor Behavior: Evidence from Colombia,10.1093/rfs/hhac092,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhac092
RFS,2022,The Effects of Capital Requirements on Good and Bad Risk-Taking,10.1093/rfs/hhac037,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhac037
RFS,2023,Do Corporate Disclosures Constrain Strategic Analyst Behavior?,10.1093/rfs/hhad008,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhad008
RFS,2023,Freeze! Financial Sanctions and Bank Responses,10.1093/rfs/hhad043,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhad043
RFS,2023,Stress Testing and Bank Lending,10.1093/rfs/hhad086,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhad086
RFS,2023,The Cost of Bank Regulatory Capital,10.1093/rfs/hhad077,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhad077
RFS,2024,Conflicts of Interest in Municipal Bond Advising and Underwriting,10.1093/rfs/hhae037,https://sherman.library.nova.edu/auth/index.php?qurl=https://doi.org/10.1093/rfs/hhae037
